ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC
7176,전라북도,정읍시,소성면,돼지,3,전라북도 정읍시 소성면
7177,강원도,양구군,방산면,닭,13,강원도 양구군 방산면
7178,충청남도,서산시,음암면,거위,3,충청남도 서산시 음암면
7179,전라남도,나주시,다시면,닭,8,전라남도 나주시 다시면
7180,전라남도,화순군,동복면,오리,1,전라남도 화순군 동복면
7181,경상남도,남해군,미조면,닭,1,경상남도 남해군 미조면
7182,전라북도,군산시,개정면,말,2,전라북도 군산시 개정면
7183,충청남도,아산시,음봉면,거위,1,충청남도 아산시 음봉면
7184,경상남도,진주시,진성면,염소,9,경상남도 진주시 진성면
7185,경기도,남양주시,진건읍,산양,1,경기도 남양주시 진건읍
7186,경상남도,거제시,연초면,염소,8,경상남도 거제시 연초면
7187,강원도,인제군,기린면,닭,12,강원도 인제군 기린면
7188,전라북도,진안군,상전면,닭,29,전라북도 진안군 상전면
7189,강원도,정선군,임계면,닭,67,강원도 정선군 임계면
7190,충청남도,예산군,신양면,돼지,6,충청남도 예산군 신양면
7191,경상북도,예천군,개포면,염소,11,경상북도 예천군 개포면
7192,경상북도,울진군,북면,오리,2,경상북도 울진군 북면
7193,전라북도,장수군,계북면,칠면조,1,전라북도 장수군 계북면
7194,전라남도,해남군,화산면,염소,9,전라남도 해남군 화산면
7195,전라남도,완도군,노화읍,돼지,5,전라남도 완도군 노화읍
7196,충청북도,음성군,소이면,염소,11,충청북도 음성군 소이면
7197,경상남도,통영시,용남면,염소,7,경상남도 통영시 용남면
7198,경상남도,창원시 의창구,소답동,닭,1,경상남도 창원시 의창구 소답동
7199,전라남도,강진군,신전면,닭,12,전라남도 강진군 신전면
7200,경상북도,경산시,진량읍,돼지,2,경상북도 경산시 진량읍
7201,광주광역시,북구,삼각동,닭,2,광주광역시 북구 삼각동
